Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
CHC,Christopher Morel,-8,Miller,-25,0,0,0,0,0,0,0,0
CHC,Dansby Swanson,-8,Miller,-25,0,0,0,0,0,0,0,0
CHC,Miguel Amaya,-8,Miller,-25,0,0,0,0,0,0,0,0
WAS,Trey Lipscomb,-8,Nola,4,0,0,0,0,0,0,0,0
SEA,Cal Raleigh,-8,Peralta,-35,0,0,0,0,0,0,0,0
SEA,Dylan Moore,-8,Peralta,-24,0,0,0,0,0,0,0,0
SEA,Julio Rodriguez,-8,Peralta,-30,0,0,0,0,0,0,0,0
PIT,Oneil Cruz,-8,Rodriguez,-8,0,0,0,0,0,0,0,0
CHW,Martin Maldonado,-8,Singer,-17,4,4,0.3,0.2,0,0,2,0.079
ARI,Alek Thomas,-8,Strider,-3,4,4,0.7,0,0.1,0,1,0.165
ARI,Jake McCarthy,-8,Strider,-3,4,4,0,0,0,0,4,0
TEX,Jared Walsh,-9,Brown,-6,0,0,0,0,0,0,0,0
SF,Austin Slater,-9,Cease,-30,0,0,0,0,0,0,0,0
MIL,Joey Ortiz,-9,Gilbert,-24,0,0,0,0,0,0,0,0
NYM,Zack Short,-9,Greene,-27,0,0,0,0,0,0,0,0
LAD,Taylor Trammell,-9,Hendricks,-4,0,0,0,0,0,0,0,0
SD,Graham Pauley,-9,Hicks,-11,0,0,0,0,0,0,0,0
BAL,Austin Hays,-9,Jones,-9,0,0,0,0,0,0,0,0
BAL,James McCann,-9,Jones,-13,0,0,0,0,0,0,0,0
BAL,Jordan Westburg,-9,Jones,-11,0,0,0,0,0,0,0,0
CHC,Garrett Cooper,-9,Miller,-27,0,0,0,0,0,0,0,0
CHC,Michael Busch,-9,Miller,-27,0,0,0,0,0,0,0,0
WAS,Joey Gallo,-9,Nola,-17,0,0,0,0,0,0,0,0
SEA,Dominic Canzone,-9,Peralta,-25,0,0,0,0,0,0,0,0
SEA,Samad Taylor,-9,Peralta,-32,0,0,0,0,0,0,0,0
PIT,Alika Williams,-9,Rodriguez,5,0,0,0,0,0,0,0,0
PIT,Jason Delay,-9,Rodriguez,1,0,0,0,0,0,0,0,0
PIT,Joey Bart,-9,Rodriguez,-8,0,0,0,0,0,0,0,0
