Tm,Batter,vs,Pitcher,PA,AB,H,HR,XB,BB,K,AVG
ARI,Gabriel Moreno,-1,Rodon,3,3,1,0,0,0,1,0.333
SEA,J.P. Crawford,-8,Skubal,0,0,0,0,0,0,0,0
ARI,Ketel Marte,2,Rodon,12,11,3,1,2,1,3,0.273
COL,Kyle Farmer,-9,Wheeler,0,0,0,0,0,0,0,0
BAL,Ramon Laureano,-7,Crochet,3,3,1,0,0,0,2,0.333
BAL,Gary Sanchez,-7,Crochet,3,2,0,0,0,1,1,0
ATL,Matt Olson,-4,Snell,9,8,2,0,1,1,3,0.25
ATL,Michael Harris II,-4,Snell,1,1,0,0,0,0,0,0
SEA,Donovan Solano,-7,Skubal,0,0,0,0,0,0,0,0
BAL,Ramon Urias,-7,Crochet,0,0,0,0,0,0,0,0
TB,Ben Rortvedt,-10,Skenes,0,0,0,0,0,0,0,0
NYY,Jazz Chisholm,-5,Gallen,12,12,0,0,0,0,5,0
ATL,Ozzie Albies,-5,Snell,4,4,0,0,0,0,1,0
SEA,Ryan Bliss,-10,Skubal,0,0,0,0,0,0,0,0
TB,Brandon Lowe,-8,Skenes,0,0,0,0,0,0,0,0
ARI,Randal Grichuk,1,Rodon,7,6,3,1,1,1,3,0.5
ARI,Corbin Carroll,-2,Rodon,8,8,1,0,1,0,2,0.125
ARI,Lourdes Gurriel Jr.,-3,Rodon,6,5,0,0,0,1,0,0
COL,Michael Toglia,-10,Wheeler,0,0,0,0,0,0,0,0
BAL,Tyler O'Neill,-7,Crochet,2,2,1,1,0,0,0,0.5
COL,Jordan Beck,-10,Wheeler,0,0,0,0,0,0,0,0
CLE,Gabriel Arias,-9,Cease,9,7,4,1,2,2,0,0.571
TB,Jake Mangum,-10,Skenes,0,0,0,0,0,0,0,0
ATL,Austin Riley,-8,Snell,7,6,0,0,0,1,4,0
ATL,Orlando Arcia,-9,Snell,5,4,1,1,0,1,3,0.25
ATL,Bryan De La Cruz,-9,Snell,4,3,0,0,0,1,1,0
BAL,Jackson Holliday,-10,Crochet,0,0,0,0,0,0,0,0
ATL,Marcell Ozuna,-8,Snell,5,4,1,0,1,1,2,0.25
ARI,Eugenio Suarez,-7,Rodon,3,3,2,0,1,0,0,0.667
ATL,Chadwick Tromp,-10,Snell,0,0,0,0,0,0,0,0
ATL,Eli White,-10,Snell,2,1,0,0,0,1,0,0
