Tm,Batter,vs,Pitcher,RC,BB,K,HR,XB,1B,BB,K
LAD,Andy Pages,1,Scherzer,-8,-24,10,3.8,6,14.5,4.5,24.5
CLE,Gabriel Arias,-7,Civale,-8,1,5,2.6,4.7,11.8,7.5,33.5
WAS,Josh Bell,5,Gage,-8,2,4,2,4.3,15.8,12,21.1
PHI,Kyle Schwarber,6,Kelly,-8,-4,-6,4,4.7,10.6,13.8,28.2
PHI,Max Kepler,4,Kelly,-8,-13,-6,3.3,5.2,13.7,8,21.1
ATL,Nacho Alvarez Jr.,-10,Cabrera,-8,15,16,1.1,3.3,10.4,7.2,32.5
KC,Bobby Witt Jr.,4,Ryan,-9,-35,16,3.5,6.8,16.5,6,24.4
LAD,Freddie Freeman,4,Scherzer,-9,-21,8,4,7,11.9,7.8,26.8
STL,Ivan Herrera,5,Boyd,-9,-31,-5,3.2,4.9,15.3,7.6,21.8
LAD,Teoscar Hernandez,3,Scherzer,-9,-23,7,4.9,6,12.4,6.1,28.6
TB,Brandon Lowe,1,Castillo,-10,-2,5,2.8,4.7,14,8.4,28
ATL,Eli White,-5,Cabrera,-10,14,16,2.1,3.7,13.4,8.5,29.8
DET,Gleyber Torres,2,Hendricks,-10,-51,-38,2.5,5.2,14.3,6.2,10.7
SEA,J.P. Crawford,1,Rasmussen,-10,-23,10,2,4.3,15.6,8.6,21.9
STL,Jordan Walker,-3,Boyd,-10,-27,-5,3.2,5.1,13,5.3,27.4
TB,Junior Caminero,-1,Castillo,-10,-14,3,3.2,3.8,15.7,5.8,23.7
MIN,Kody Clemens,-3,Lugo,-10,16,15,3.6,4.5,11.9,10.1,26.7
KC,Kyle Isbel,-5,Ryan,-10,-32,21,1.3,6.4,17.3,5,25.2
LAD,Michael Conforto,2,Scherzer,-10,-23,6,5.1,4.8,11.1,8.1,25.6
LAD,Miguel Rojas,6,Scherzer,-10,-24,5,2.6,6,16.8,6.4,14.4
KC,Vinnie Pasquantino,1,Ryan,-10,-36,21,2.8,5.7,18.4,5.5,20.9
STL,Willson Contreras,4,Boyd,-10,-35,-5,4.1,5.6,13,6.3,25.1
TOR,Addison Barger,1,Kershaw,-11,-39,-16,3.2,5.3,16.2,4.6,22.3
CHC,Kyle Tucker,9,McGreevy,-11,-28,-28,2.8,5.4,15.4,11,12.2
STL,Masyn Winn,5,Boyd,-11,-29,-6,1.8,6.3,16.4,6.7,15.9
LAD,Max Muncy,7,Scherzer,-11,-20,5,4.5,5.9,9.3,13.8,24.8
NYM,Ronny Mauricio,-6,Woodruff,-11,-29,21,5,5.2,9.6,5,34.3
STL,Thomas Saggese,-7,Boyd,-11,-35,-1,2.4,4.8,12.4,4.9,30.7
KC,Adam Frazier,-4,Ryan,-12,-37,40,1.6,6.9,17.4,4.6,26.2
ATL,Drake Baldwin,-3,Cabrera,-12,16,17,2.9,3.4,12.3,9.7,23.6
TOR,Nathan Lukes,6,Kershaw,-12,-42,-8,2.2,6,18.7,5,12.9
PHI,Bryson Stott,3,Kelly,-13,-10,0,2.7,4,14.3,10.7,19.1
TOR,Daulton Varsho,-1,Kershaw,-13,-37,-8,4,5,12.7,7,27.4
SEA,Eugenio Suarez,-2,Rasmussen,-13,-34,10,3.8,4.7,12.7,6.4,33.3
HOU,Jose Altuve,6,Schlittler,-13,14,13,2.6,5,17.8,7.6,19.1
ATL,Nick Allen,-7,Cabrera,-13,15,10,0.8,3.4,13,9.4,24.6
TB,Taylor Walls,-2,Castillo,-13,-13,5,2.1,3.5,14.9,8.9,25.6
SEA,Cal Raleigh,-5,Rasmussen,-14,-32,7,3.6,4.3,10.6,7.3,35.4
NYM,Jeff McNeil,-2,Woodruff,-14,-33,32,4.8,4.5,11.9,5.2,20.1
KC,Jonathan India,-3,Ryan,-14,-36,18,2.6,5.6,14.4,7.6,24.8
KC,Salvador Perez,-2,Ryan,-14,-27,16,3.9,6,15.3,3.5,25.3
LAD,Will Smith,3,Scherzer,-14,-25,14,4.5,4.5,11.4,10.8,24.7
SEA,Julio Rodriguez,-3,Rasmussen,-15,-36,12,3,4.5,14.2,5.2,27.9
ATL,Michael Harris II,-5,Cabrera,-15,-3,12,1.7,4.8,14.9,4,22.5
SEA,Cole Young,-4,Rasmussen,-16,-29,21,2.2,4.2,14.1,6.4,23.8
KC,Mike Yastrzemski,-6,Ryan,-16,-42,17,2.3,6,13.8,6.6,30.2
STL,Pedro Pages,-6,Boyd,-16,-35,-2,2.3,4.6,13.8,4.3,28.8
NYM,Mark Vientos,-5,Woodruff,-17,-22,19,4.1,5,11.4,5.4,30.4
SEA,Jorge Polanco,1,Rasmussen,-18,-27,26,3.1,4.7,11.5,9.6,24.5
HOU,Mauricio Dubon,3,Schlittler,-18,15,17,2,4.8,17.8,6.2,16.4
SEA,Randy Arozarena,-4,Rasmussen,-18,-26,16,2.4,3.9,13.9,8.5,32.3
HOU,Taylor Trammell,-3,Schlittler,-18,24,10,3.4,3.2,9.8,14.9,39.2
STL,Victor Scott II,-3,Boyd,-18,-26,9,2.1,4.8,14,7.4,27.2
STL,Alec Burleson,5,Boyd,-19,-37,-6,3.3,5.5,13.9,5.6,14.1
NYM,Francisco Lindor,-4,Woodruff,-19,-31,28,4.6,4.9,10.1,6.3,29.1
SEA,Josh Naylor,1,Rasmussen,-19,-41,25,2.9,5.1,15.2,4.9,22.9
LAD,Shohei Ohtani,1,Scherzer,-19,-24,12,4.8,6,8.7,10.5,34.9
SEA,Dominic Canzone,-3,Rasmussen,-20,-30,30,2.8,4.7,14.4,5.3,30.9
NYM,Juan Soto,1,Woodruff,-20,-20,30,5.7,3.6,8.2,13.5,30.7
BOS,Masataka Yoshida,1,Pivetta,-20,-17,33,2.7,5.3,14.9,5.9,19.5
LAA,Nolan Schanuel,-4,Skubal,-20,-38,60,1.4,5.4,17.1,5.2,22.2
HOU,Carlos Correa,3,Schlittler,-21,31,29,2,4.3,16,11.5,23.8
HOU,Jeremy Pena,3,Schlittler,-21,13,30,2.2,4.1,19.9,6.8,24.4
HOU,Yainer Diaz,3,Schlittler,-21,20,30,2.4,4.4,19.4,6,22.8
BOS,Alex Bregman,4,Pivetta,-22,-29,36,4.1,5.5,12.2,8.4,23
NYM,Cedric Mullins,-6,Woodruff,-22,-34,31,3.9,4.5,10.5,7.1,31.9
STL,Brendan Donovan,5,Boyd,-23,-32,6,2.1,5.4,16.3,6.2,15.1
TEX,Sam Haggerty,-7,Sanchez,-23,-48,15,1.6,3.2,16.5,4.9,26
NYM,Brandon Nimmo,-7,Woodruff,-24,-27,30,3.3,3.7,11,8.1,32.1
NYY,Cody Bellinger,3,Brown,-24,-1,25,2.4,2.8,17.5,9.2,16.9
HOU,Jesus Sanchez,4,Schlittler,-24,5,29,3.1,4.6,15.1,8.9,28.1
